"Strategies","left","rope","right"
"CC-C5.0 x MBR-SVMt",0,0,1
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-C5.0",0,1,0
"CC-C5.0 x NS-LR",0,0,1
"CC-C5.0 x NS-RF",0,0,1
"CC-C5.0 x NS-SVM",0,0,1
"CC-C5.0 x NS-SVMt",0,0,1
"CC-C5.0 x NS-XGB",0,0,1
"CC-C5.0 x PruDent-C5.0",0,0.92,0.08
"CC-C5.0 x PruDent-LR",0,0,1
"CC-C5.0 x PruDent-RF",0,0,1
"CC-C5.0 x PruDent-SVM",0,0,1
"CC-C5.0 x PruDent-SVMt",0,0,1
"CC-C5.0 x PruDent-XGB",0,0,1
"CC-C5.0 x RDBR-C5.0",0.01,0.98,0
"CC-C5.0 x RDBR-LR",0,0,1
"CC-C5.0 x RDBR-RF",0,0,1
"CC-C5.0 x RDBR-SVM",0,0,1
"CC-C5.0 x RDBR-SVMt",0,0,1
"CC-C5.0 x RDBR-XGB",0,0,1
"CC-LR x BR-RF",0.22,0,0.78
"CC-LR x BR-SVM",0,1,0
"CC-LR x BR-SVMt",0.17,0.75,0.08
"CC-LR x BR-XGB",0.19,0,0.81
"CC-LR x BR+-RF",0.31,0.04,0.66
"CC-LR x BR+-SVM",0,1,0
"CC-LR x BR+-SVMt",0.04,0.74,0.22
"CC-LR x BR+-XGB",0.26,0.07,0.66
"CC-LR x CC-RF",0.27,0.01,0.72
"CC-LR x CC-SVM",0,1,0
"CC-LR x CC-SVMt",0.04,0.85,0.11
"CC-LR x CC-XGB",0.53,0,0.47
"CC-LR x DBR-LR",0,1,0
"CC-LR x DBR-RF",0.29,0.01,0.7
"CC-LR x DBR-SVM",0,1,0
"CC-LR x DBR-SVMt",0.07,0.72,0.2
"CC-LR x DBR-XGB",0.27,0.06,0.67
"CC-LR x EBR-LR",0.19,0.07,0.74
"CC-LR x EBR-RF",0,0,1
"CC-LR x EBR-SVM",0,0,0.99
"CC-LR x EBR-SVMt",0.03,0,0.97
"CC-LR x EBR-XGB",0,0,1
"CC-LR x ECC-LR",0.22,0.02,0.76
"CC-LR x ECC-RF",0,0,1
"CC-LR x ECC-SVM",0.01,0,0.99
"CC-LR x ECC-SVMt",0.04,0,0.96
"CC-LR x ECC-XGB",0,0,1
"CC-LR x MBR-LR",0,1,0
"CC-LR x MBR-RF",0.21,0,0.78
"CC-LR x MBR-SVM",0,1,0
"CC-LR x MBR-SVMt",0.04,0.72,0.24
"CC-LR x MBR-XGB",0.17,0.01,0.82
"CC-LR x NS-LR",0,1,0
"CC-LR x NS-RF",0.24,0.01,0.75
"CC-LR x NS-SVM",0,1,0
"CC-LR x NS-SVMt",0.06,0.83,0.1
"CC-LR x NS-XGB",0.44,0.02,0.54
"CC-LR x PruDent-LR",0,1,0
"CC-LR x PruDent-RF",0.21,0,0.79
"CC-LR x PruDent-SVM",0,1,0
"CC-LR x PruDent-SVMt",0.05,0.87,0.07
"CC-LR x PruDent-XGB",0.17,0.01,0.82
"CC-LR x RDBR-LR",0,1,0
"CC-LR x RDBR-RF",0.34,0.03,0.63
"CC-LR x RDBR-SVM",0,1,0
"CC-LR x RDBR-SVMt",0.05,0.53,0.42
"CC-LR x RDBR-XGB",0.24,0.09,0.67
"CC-RF x BR-SVM",0.71,0.04,0.25
"CC-RF x BR-SVMt",0.24,0.29,0.47
"CC-RF x BR-XGB",0.22,0.24,0.54
"CC-RF x BR+-SVM",0.59,0.01,0.4
"CC-RF x BR+-SVMt",0.08,0.04,0.87
"CC-RF x BR+-XGB",0.24,0.24,0.52
"CC-RF x CC-SVM",0.71,0.01,0.28
"CC-RF x CC-SVMt",0.09,0.23,0.68
"CC-RF x CC-XGB",0.67,0.02,0.32
"CC-RF x DBR-RF",0,1,0
"CC-RF x DBR-SVM",0.66,0,0.34
"CC-RF x DBR-SVMt",0.12,0.02,0.86
"CC-RF x DBR-XGB",0.24,0.19,0.57
"CC-RF x EBR-RF",0,0,1
"CC-RF x EBR-SVM",0.14,0,0.86
"CC-RF x EBR-SVMt",0.07,0.01,0.92
"CC-RF x EBR-XGB",0,0,1
"CC-RF x ECC-RF",0,0,1
"CC-RF x ECC-SVM",0.14,0,0.86
"CC-RF x ECC-SVMt",0.08,0.01,0.92
"CC-RF x ECC-XGB",0,0,1
"CC-RF x MBR-RF",0,1,0
"CC-RF x MBR-SVM",0.58,0.03,0.39
"CC-RF x MBR-SVMt",0.27,0.04,0.68
"CC-RF x MBR-XGB",0.15,0.21,0.64
"CC-RF x NS-RF",0,1,0
"CC-RF x NS-SVM",0.65,0.04,0.31
"CC-RF x NS-SVMt",0.27,0.15,0.58
"CC-RF x NS-XGB",0.43,0.22,0.36
"CC-RF x PruDent-RF",0,1,0
"CC-RF x PruDent-SVM",0.74,0.01,0.25
"CC-RF x PruDent-SVMt",0.19,0.16,0.66
"CC-RF x PruDent-XGB",0.16,0.26,0.58
"CC-RF x RDBR-RF",0,1,0
"CC-RF x RDBR-SVM",0.57,0,0.43
"CC-RF x RDBR-SVMt",0.05,0,0.94
"CC-RF x RDBR-XGB",0.21,0.18,0.61
"CC-SVM x BR-SVMt",0.14,0.82,0.05
"CC-SVM x BR-XGB",0.19,0,0.8
"CC-SVM x BR+-SVMt",0.06,0.64,0.29
"CC-SVM x BR+-XGB",0.27,0.06,0.67
"CC-SVM x CC-SVMt",0.03,0.88,0.09
"CC-SVM x CC-XGB",0.52,0,0.48
"CC-SVM x DBR-SVM",0,1,0
"CC-SVM x DBR-SVMt",0.11,0.61,0.28
