"Strategies","left","rope","right"
"CC-LR x NS-SVMt",0.1,0.7,0.19
"CC-LR x NS-XGB",0.84,0.03,0.13
"CC-LR x PruDent-LR",0.41,0.47,0.12
"CC-LR x PruDent-RF",0.01,0,0.99
"CC-LR x PruDent-SVM",0,1,0
"CC-LR x PruDent-SVMt",0.08,0.34,0.58
"CC-LR x PruDent-XGB",0.26,0.32,0.42
"CC-LR x RDBR-LR",0,1,0
"CC-LR x RDBR-RF",0.04,0,0.96
"CC-LR x RDBR-SVM",0,1,0
"CC-LR x RDBR-SVMt",0.28,0.58,0.14
"CC-LR x RDBR-XGB",0.66,0.09,0.25
"CC-RF x BR-SVM",0.82,0,0.18
"CC-RF x BR-SVMt",0.18,0.34,0.49
"CC-RF x BR-XGB",0.83,0.14,0.03
"CC-RF x BR+-SVM",0.97,0,0.03
"CC-RF x BR+-SVMt",0.88,0.06,0.07
"CC-RF x BR+-XGB",0.99,0.01,0
"CC-RF x CC-SVM",0.98,0,0.02
"CC-RF x CC-SVMt",0.93,0.01,0.06
"CC-RF x CC-XGB",1,0,0
"CC-RF x DBR-RF",0,1,0
"CC-RF x DBR-SVM",0.97,0,0.03
"CC-RF x DBR-SVMt",0.92,0.02,0.06
"CC-RF x DBR-XGB",0.98,0.01,0.01
"CC-RF x EBR-RF",0.15,0.85,0
"CC-RF x EBR-SVM",0.94,0.01,0.06
"CC-RF x EBR-SVMt",0.86,0.04,0.1
"CC-RF x EBR-XGB",0.72,0.06,0.22
"CC-RF x ECC-RF",0.62,0.38,0
"CC-RF x ECC-SVM",0.96,0,0.04
"CC-RF x ECC-SVMt",0.81,0.14,0.05
"CC-RF x ECC-XGB",0.89,0,0.1
"CC-RF x MBR-RF",0,1,0
"CC-RF x MBR-SVM",0.98,0,0.02
"CC-RF x MBR-SVMt",0.89,0.03,0.08
"CC-RF x MBR-XGB",1,0,0
"CC-RF x NS-RF",0,1,0
"CC-RF x NS-SVM",0.86,0.03,0.11
"CC-RF x NS-SVMt",0.88,0.05,0.07
"CC-RF x NS-XGB",1,0,0
"CC-RF x PruDent-RF",0,1,0
"CC-RF x PruDent-SVM",0.95,0,0.05
"CC-RF x PruDent-SVMt",0.39,0.3,0.31
"CC-RF x PruDent-XGB",0.74,0.24,0.02
"CC-RF x RDBR-RF",0,1,0
"CC-RF x RDBR-SVM",0.97,0,0.03
"CC-RF x RDBR-SVMt",0.8,0.06,0.14
