"Strategies","left","rope","right"
"BR+-SVM x CC-XGB",0.94,0,0.06
"BR+-SVM x DBR-SVM",0,1,0
"BR+-SVM x DBR-SVMt",0.63,0.22,0.16
"BR+-SVM x DBR-XGB",0.82,0.02,0.16
"BR+-SVM x EBR-SVM",1,0,0
"BR+-SVM x EBR-SVMt",0.98,0,0.02
"BR+-SVM x EBR-XGB",0.97,0,0.03
"BR+-SVM x ECC-SVM",1,0,0
"BR+-SVM x ECC-SVMt",0.99,0,0.01
"BR+-SVM x ECC-XGB",0.97,0,0.03
"BR+-SVM x MBR-SVM",0,0.99,0.01
"BR+-SVM x MBR-SVMt",0.29,0.64,0.07
"BR+-SVM x MBR-XGB",0.78,0.05,0.17
"BR+-SVM x NS-SVM",0.01,0.9,0.09
"BR+-SVM x NS-SVMt",0.72,0.05,0.23
"BR+-SVM x NS-XGB",0.95,0,0.05
"BR+-SVM x PruDent-SVM",0,0.95,0.04
"BR+-SVM x PruDent-SVMt",0.06,0.44,0.51
"BR+-SVM x PruDent-XGB",0.74,0.06,0.2
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.56,0.31,0.13
"BR+-SVM x RDBR-XGB",0.9,0.02,0.08
"BR+-SVMt x BR-XGB",0.26,0.12,0.61
"BR+-SVMt x BR+-XGB",0.67,0,0.32
"BR+-SVMt x CC-SVMt",0,0.94,0.06
"BR+-SVMt x CC-XGB",0.7,0.01,0.3
"BR+-SVMt x DBR-SVMt",0.01,0.98,0
"BR+-SVMt x DBR-XGB",0.66,0,0.34
"BR+-SVMt x EBR-SVMt",1,0,0
"BR+-SVMt x EBR-XGB",0.89,0.02,0.09
"BR+-SVMt x ECC-SVMt",1,0,0
"BR+-SVMt x ECC-XGB",0.84,0,0.16
"BR+-SVMt x MBR-SVMt",0.02,0.74,0.25
"BR+-SVMt x MBR-XGB",0.24,0.02,0.74
"BR+-SVMt x NS-SVMt",0.38,0.33,0.3
"BR+-SVMt x NS-XGB",0.85,0,0.15
"BR+-SVMt x PruDent-SVMt",0.01,0.06,0.93
"BR+-SVMt x PruDent-XGB",0.21,0.04,0.75
"BR+-SVMt x RDBR-SVMt",0,1,0
"BR+-SVMt x RDBR-XGB",0.54,0,0.46
"BR+-XGB x CC-XGB",0.67,0.06,0.27
"BR+-XGB x DBR-XGB",0,1,0
"BR+-XGB x EBR-XGB",0.74,0,0.26
"BR+-XGB x ECC-XGB",0.79,0,0.21
"BR+-XGB x MBR-XGB",0.02,0.24,0.74
"BR+-XGB x NS-XGB",0.13,0.68,0.19
"BR+-XGB x PruDent-XGB",0,0.35,0.65
"BR+-XGB x RDBR-XGB",0,1,0
"CC-C5.0 x BR-LR",0,0,1
"CC-C5.0 x BR-RF",0,0,1
"CC-C5.0 x BR-SVM",0,0,1
"CC-C5.0 x BR-SVMt",0,0,1
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-LR",0,0,1
"CC-C5.0 x BR+-RF",0,0,1
"CC-C5.0 x BR+-SVM",0,0,1
"CC-C5.0 x BR+-SVMt",0,0,1
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-LR",0,0,1
"CC-C5.0 x CC-RF",0,0,1
"CC-C5.0 x CC-SVM",0,0,1
"CC-C5.0 x CC-SVMt",0,0,1
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0.91,0.08,0.01
"CC-C5.0 x DBR-LR",0,0,1
"CC-C5.0 x DBR-RF",0,0,1
"CC-C5.0 x DBR-SVM",0,0,1
"CC-C5.0 x DBR-SVMt",0,0,1
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-C5.0",0.01,0,0.99
"CC-C5.0 x EBR-LR",0.05,0,0.95
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x EBR-SVM",0.03,0,0.97
"CC-C5.0 x EBR-SVMt",0.02,0,0.98
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-C5.0",0.01,0,0.99
"CC-C5.0 x ECC-LR",0.07,0,0.93
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x ECC-SVM",0.02,0,0.98
"CC-C5.0 x ECC-SVMt",0.02,0,0.98
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-C5.0",0.34,0.49,0.17
"CC-C5.0 x MBR-LR",0,0,1
"CC-C5.0 x MBR-RF",0,0,1
"CC-C5.0 x MBR-SVM",0,0,1
"CC-C5.0 x MBR-SVMt",0.01,0,0.99
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-C5.0",0.02,0.31,0.67
"CC-C5.0 x NS-LR",0,0,1
"CC-C5.0 x NS-RF",0,0,1
"CC-C5.0 x NS-SVM",0,0,1
"CC-C5.0 x NS-SVMt",0,0,1
"CC-C5.0 x NS-XGB",0,0,1
"CC-C5.0 x PruDent-C5.0",0.05,0.33,0.62
"CC-C5.0 x PruDent-LR",0,0,1
"CC-C5.0 x PruDent-RF",0,0,1
"CC-C5.0 x PruDent-SVM",0,0,1
"CC-C5.0 x PruDent-SVMt",0,0,1
"CC-C5.0 x PruDent-XGB",0,0,1
"CC-C5.0 x RDBR-C5.0",0.09,0.87,0.04
"CC-C5.0 x RDBR-LR",0,0,1
"CC-C5.0 x RDBR-RF",0,0,1
"CC-C5.0 x RDBR-SVM",0,0,1
"CC-C5.0 x RDBR-SVMt",0,0,1
"CC-C5.0 x RDBR-XGB",0,0,1
"CC-LR x BR-RF",0.04,0.01,0.96
"CC-LR x BR-SVM",0,1,0
"CC-LR x BR-SVMt",0.12,0.36,0.52
"CC-LR x BR-XGB",0.73,0.07,0.2
"CC-LR x BR+-RF",0.1,0.05,0.85
"CC-LR x BR+-SVM",0,1,0
"CC-LR x BR+-SVMt",0.73,0.22,0.05
"CC-LR x BR+-XGB",0.9,0.02,0.08
"CC-LR x CC-RF",0.06,0.04,0.9
"CC-LR x CC-SVM",0,1,0
"CC-LR x CC-SVMt",0.38,0.5,0.12
"CC-LR x CC-XGB",0.95,0,0.05
"CC-LR x DBR-LR",0.01,0.99,0
"CC-LR x DBR-RF",0.11,0,0.89
"CC-LR x DBR-SVM",0.02,0.98,0
"CC-LR x DBR-SVMt",0.73,0.18,0.09
"CC-LR x DBR-XGB",0.81,0.03,0.16
"CC-LR x EBR-LR",1,0,0
"CC-LR x EBR-RF",0.86,0,0.14
"CC-LR x EBR-SVM",1,0,0
"CC-LR x EBR-SVMt",0.98,0,0.02
"CC-LR x EBR-XGB",0.99,0,0.01
"CC-LR x ECC-LR",1,0,0
"CC-LR x ECC-RF",0.94,0,0.06
"CC-LR x ECC-SVM",1,0,0
"CC-LR x ECC-SVMt",0.99,0,0.01
"CC-LR x ECC-XGB",0.99,0,0.01
"CC-LR x MBR-LR",0,0.98,0.02
"CC-LR x MBR-RF",0.03,0.01,0.96
